plan_vs_actual.dept_key,plan_vs_actual.division,plan_vs_actual.department,plan_vs_actual.channel,plan_vs_actual.fiscal_year,plan_vs_actual.fiscal_month,plan_vs_actual.fiscal_month_no,plan_vs_actual.has_actual,plan_vs_actual.plan_sales_dollars,plan_vs_actual.budget_sales_dollars,plan_vs_actual.budget_markdown_dollars,plan_vs_actual.budget_receipts_cost,plan_vs_actual.actual_sales_dollars,plan_vs_actual.plan_markdown_dollars,plan_vs_actual.actual_markdown_dollars,plan_vs_actual.actual_eom_retail,plan_vs_actual.plan_bom_retail,plan_vs_actual.plan_eom_retail,plan_vs_actual.plan_receipts_retail,plan_vs_actual.plan_shrink_dollars
Boys Bottoms,Boys,Bottoms,Ecommerce,2025,Sep,8,true,59995.33,58971.63,7877.65,16332.89,50052.13,8713.68,7811.14,155696.48,172122.65,142124.22,38950.55,239.98
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2024,Jun,5,true,59804.34,57758.12,8509.14,4203.59,58361.23,7229.85,8536.82,140968.86,196961.36,142200.49,12512.54,239.22
Boys Tops,Boys,Tops,Wholesale,2026,Feb,1,true,59734.93,60749.08,1200.5,54705.37,49212.68,1273.75,1627.53,63881.55,21125.8,61524.91,101467.53,59.73
Boys Bottoms,Boys,Bottoms,Ecommerce,2024,May,4,true,59622.68,59352.79,8616.83,15538.49,64290.11,8533.25,9827.51,154347.81,171874.98,162947.09,59466.53,238.49
Girls Swim,Girls,Swim,Ecommerce,2026,Jun,5,true,59512.72,59937.09,8332.95,4670.97,67143.22,8077.17,8912.46,132622.16,197601.67,140685.4,10911.67,238.05
Baby Rompers,Baby,Rompers,Ecommerce,2024,Jul,6,true,59486.75,58808.27,6985.38,28926.74,64259.22,9162.84,11246.25,165199.08,164009,169405.05,74283.59,237.95
Girls Tops,Girls,Tops,Retail Stores,2024,Sep,8,true,59225.77,58303.66,6611.95,12514.49,58198.4,5305.78,5342.76,144081.45,148139.85,141649.8,58574.53,533.03
Baby Rompers,Baby,Rompers,Retail Stores,2025,Dec,11,true,59061.53,56593.41,6207.74,15833.33,59319.99,5332.14,5118.11,124907.04,140049.68,129918.37,54793.91,531.55
Boys Tops,Boys,Tops,Ecommerce,2024,Feb,1,true,58863.42,57563.65,7975.17,21523.49,56325.08,7323.77,5619.61,182073.94,171687.17,175170.69,69906.17,235.45
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2025,Aug,7,true,58836.07,58528.23,7739.67,30071.39,48154.46,7668.25,8502.29,178282.92,166341.75,164905.44,65303.35,235.34
Girls Sleepwear,Girls,Sleepwear,Wholesale,2024,Jul,6,true,58697.9,55852.58,985.84,37061.04,60409.59,1253.29,1005.12,66421.02,41891.37,58422.59,76541.12,58.7
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2024,Oct,9,true,58485.68,58341.54,9052.93,42873.03,57646.73,7556.79,7455.81,168645.48,122618.96,168490.07,112147.52,233.94
Girls Bottoms,Girls,Bottoms,Ecommerce,2024,Jan,12,true,58451.55,56707.98,6565.57,0,57859.03,6721.18,7827.76,230442.53,296426.03,231019.49,0,233.81
Boys Tops,Boys,Tops,Retail Stores,2025,Nov,10,true,58349.64,58044.53,6931,43828.9,48207.35,6136.6,7446.87,181837.27,122230.11,171691.16,114472.44,525.15
Girls Bottoms,Girls,Bottoms,Retail Stores,2026,Jun,5,true,58228.81,54488.26,5551.3,6930.5,57604.66,5629.79,5107.67,134052.05,175317.27,135127.04,24192.42,524.06
Baby Rompers,Baby,Rompers,Ecommerce,2026,Jan,12,false,58091.45,59331.67,7036.46,0,,7602.96,,,328276.4,262349.62,0,232.37
Girls Sets,Girls,Sets,Retail Stores,2024,Nov,10,true,57763.52,58917.38,6001.43,45927.1,55244.99,5160.99,4641.49,178471.85,115478.67,171679.72,119645.44,519.87
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2026,Aug,7,false,57697.65,56506.35,6187.66,19744.61,,6029.77,,,167129.53,172096.57,69213.74,519.28
Girls Sleepwear,Girls,Sleepwear,Wholesale,2026,Sep,8,false,57691.36,55556.01,1066.98,32597.1,,1044.35,,,38276.69,44637.05,65153.76,57.69
Girls Swim,Girls,Swim,Ecommerce,2025,Mar,2,true,57635.66,54385.65,8358.63,29054.16,47059.71,8524.78,9430.2,142120.44,114360.11,140358.66,92389.53,230.54
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2025,May,4,true,57488.64,59314.25,6001.31,19862.35,59992.06,6689.47,8513.07,156341.02,196926.69,163767.78,31536.6,517.4
Girls Sets,Girls,Sets,Retail Stores,2026,Oct,9,false,57375.85,55038.65,5900.95,33714.75,,5340.99,,,113664.9,172394.01,121962.34,516.38
Boys Bottoms,Boys,Bottoms,Ecommerce,2024,Mar,2,true,57310.04,57719.23,6788.48,30425.24,55918.83,8273.85,9560.74,130543.1,119955.46,125505.36,71363.01,229.24
Women Dresses,Women,Dresses,Ecommerce,2026,Dec,11,false,57254.23,58300.2,7861.59,17135.66,,6855.56,,,149752.72,124056.36,38642.45,229.02
Boys Tops,Boys,Tops,Retail Stores,2026,Apr,3,true,56801.05,56125.83,5157.25,43825.11,63897.96,5288.91,5288.56,151716.39,122026.33,155710.48,96285.32,511.21
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2025,Mar,2,true,56763.7,57681.75,6755.68,28202.17,58569.08,6495.32,8308.37,119647.74,116619.7,132259.74,79409.93,510.87
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2024,Apr,3,true,56713.99,56326.1,6127.39,39855.36,61705.08,5377.82,6465.3,164059.55,113814,169794.22,118582.45,510.43
Girls Bottoms,Girls,Bottoms,Retail Stores,2026,Oct,9,false,56657.35,55038.65,5836.7,30754.19,,6015.35,,,123937.9,164346.42,103591.14,509.92
Boys Bottoms,Boys,Bottoms,Ecommerce,2025,Aug,7,true,56637.68,54626.35,6680.11,30592.51,68348.1,7937.7,8996.76,160213.84,159390.44,172122.65,77534.14,226.55
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2025,Jul,6,true,56634.8,55867.86,8230.13,22811.82,47894.84,7709.96,8088.06,176268.78,157236.39,166341.75,73676.66,226.54
Boys Tops,Boys,Tops,Retail Stores,2024,Dec,11,true,56622.12,55159.27,5634.97,15412.3,60724.2,5112.82,5569.93,114279.64,141558.6,124979.96,45665.9,509.6
Boys Swim,Boys,Swim,Ecommerce,2025,Dec,11,true,56328.92,55335.78,8343.76,12371.1,54927,7290.9,7011.87,131637.4,165715.83,128928.58,27057.89,225.32
Boys Tops,Boys,Tops,Ecommerce,2025,Jan,12,true,56238.36,55867.86,8125.71,0,66690.33,8136.15,7795.11,246188.95,320902.53,256303.06,0,224.95
Girls Swim,Girls,Swim,Ecommerce,2026,Sep,8,false,56237.37,57515.39,7616.38,12458.08,,8580.13,,,146342.64,124001.34,42701.15,224.95
Girls Bottoms,Girls,Bottoms,Retail Stores,2025,Apr,3,true,56125.81,55038.65,5592.91,36789.33,56839.77,5369.61,6252.85,156545.52,109211.33,159213.21,112002.42,505.13
Girls Swim,Girls,Swim,Ecommerce,2025,May,4,true,55968.37,55924.87,6849.22,12580.72,50695.35,7359.18,7876.52,173288.9,174946.32,168948.4,57553.51,223.87
Girls Bottoms,Girls,Bottoms,Retail Stores,2026,Sep,8,false,55937.33,52286.72,4744.39,15287.88,,5231.85,,,142728.03,123937.9,42882.5,503.44
Girls Sets,Girls,Sets,Ecommerce,2024,Jan,12,true,55924.79,56707.98,7897,0,53877.71,8671.38,11858.8,250741.32,316725.1,251905.22,0,223.7
Girls Dresses,Girls,Dresses,Wholesale,2024,Apr,3,true,55743.42,54346.7,1021.16,7016.7,52861.99,1068.8,947,56595.01,87776.08,53023.73,22115.61,55.74
Boys Tops,Boys,Tops,Wholesale,2026,Jul,6,true,55734.81,55654,949.65,37860.76,48124.44,1003.87,972.75,53886.8,42709.31,55477.97,69563.08,55.73
Girls Tops,Girls,Tops,Retail Stores,2026,Feb,1,true,55592.76,61092.9,5804.88,8806.3,52305.13,5387.22,5087.23,174677.01,189816.96,167963.94,39627.3,500.33
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2026,Jul,6,true,55591.41,53937.88,6092.11,28345.81,44092.18,5945.87,7458.04,179089.08,159212.01,167129.53,69955.13,500.32
Boys Bottoms,Boys,Bottoms,Ecommerce,2024,Oct,9,true,55465.63,54452.1,8069.93,38818.56,55620.29,8328.95,8452.49,155605.94,121791.19,158790.86,101016.11,221.86
Girls Bottoms,Girls,Bottoms,Wholesale,2025,Jul,6,true,55445.06,54575.95,1104.36,33782.87,61694.97,1090.39,1449.74,50188.59,41249.18,53695.74,69037.46,55.45
Girls Dresses,Girls,Dresses,Wholesale,2024,Jan,12,true,55370.8,55223.26,1089.21,36801.48,54181.59,999.79,1113.61,52710.88,41921.25,54983.86,69488.57,55.37
Boys Bottoms,Boys,Bottoms,Ecommerce,2024,Jun,5,true,55353.21,53907.58,7501.93,10509.4,58354.24,8156.24,9856.68,121654.34,162947.09,125414.5,26198.27,221.41
Women Tops,Women,Tops,Ecommerce,2025,Nov,10,true,55290.02,54727.7,8393.84,37607.68,54660.99,6442.07,7555.57,144116.96,103134.34,161095.95,119914.86,221.16
Boys Bottoms,Boys,Bottoms,Ecommerce,2026,Feb,1,true,55155.62,54204.24,7424.06,14058.35,50341.28,8345.71,9868.39,166310.57,175471.91,161468.25,49718.29,220.62
Girls Tops,Girls,Tops,Wholesale,2024,Sep,8,true,55148.58,53099.29,1181.07,29875.56,58977.6,1124.34,1317.71,43310.17,35757.3,44636.43,65207.2,55.15
Girls Bottoms,Girls,Bottoms,Wholesale,2025,Oct,9,true,54950.85,53038.6,960.08,37100.86,58819.31,936.69,1159.08,52061.87,32900.32,52585.46,75627.63,54.95
Girls Sleepwear,Girls,Sleepwear,Wholesale,2024,Jun,5,true,54925.83,53099.29,998.97,38388.07,58554.24,1010.61,1088.22,37609.79,20990.91,41891.37,76891.82,54.93
Boys Tops,Boys,Tops,Wholesale,2026,Oct,9,false,54879.9,54086.28,1197.99,41263.11,,1017.96,,,33740.51,56854.31,79066.55,54.88
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2024,Sep,8,true,54804.55,55424.46,7071.38,17605.38,52418.47,8274.88,6925.65,122744.8,145876.97,122618.96,40040.64,219.22
Boys Swim,Boys,Swim,Ecommerce,2025,Nov,10,true,54705.06,51079.18,7439.31,38128.42,53843.54,6879.63,8120.33,158668.83,104630.21,165715.83,122889.12,218.82
Girls Sets,Girls,Sets,Wholesale,2025,Jul,6,true,54694.5,54575.95,1241.05,34268.72,53436,1011.1,978.44,65620.69,39376.68,54786.64,71170.26,54.69
Girls Tops,Girls,Tops,Retail Stores,2024,Aug,7,true,54475.54,54007.6,6091.43,22329.71,46244.29,5079.11,5090.46,165964.28,140065.56,148139.85,68119.23,490.28
Girls Sets,Girls,Sets,Retail Stores,2025,Apr,3,true,54437.98,55038.65,5427.95,37020.66,54831.88,5921.94,5338.15,151822.97,124615.58,149721.35,85955.63,489.94
Girls Sets,Girls,Sets,Retail Stores,2026,Jun,5,true,54400.63,54488.26,5383.77,5644.65,55786.77,5886.13,7416.44,127819.13,190884.18,130695.52,587.7,489.61
Girls Dresses,Girls,Dresses,Wholesale,2025,May,4,true,54375.42,54960.29,1149.61,27279.22,56583.99,955.49,839.54,51507,63531.98,52581.81,44435.12,54.38
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2025,Jun,5,true,54144.8,53872.58,6311.51,8894.28,56051.66,6001.4,5982.21,118941.07,163767.78,121391.56,18257.27,487.3
Girls Swim,Girls,Swim,Ecommerce,2026,Aug,7,false,54066.28,53277.41,7436.96,24221.06,,8198.17,,,156638.47,146342.64,52184.89,216.27
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2025,Oct,9,true,53966.68,54416.75,5665.13,38006.92,61236.36,5312.15,5496.48,158177.4,120829.86,157686.82,96621.49,485.7
Girls Bottoms,Girls,Bottoms,Wholesale,2024,Feb,1,true,53769.58,52256.44,956.83,28964.51,61085.64,995.93,1033.89,47825.78,55552.72,53799.57,53066.12,53.77
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2026,Feb,1,true,53663.3,58075.97,8224.68,10361.86,44819.8,7629.15,8726.91,171325.25,214247.2,163423.93,10683.83,214.65
Boys Bottoms,Boys,Bottoms,Ecommerce,2025,Jul,6,true,53635.86,52143.33,6952.72,20502.93,53151.42,6731.05,6850.25,155814.62,142019.45,159390.44,77952.44,214.54
Baby Rompers,Baby,Rompers,Wholesale,2026,Feb,1,true,53321.61,54674.17,1042.36,49769.54,58336.44,1039.02,964.81,51904.8,19505.88,54747.23,89655.3,53.32
Girls Swim,Girls,Swim,Ecommerce,2025,Jun,5,true,52996.2,50794.14,7615.24,7653.61,51562.44,8073.51,7578.28,116483,168948.4,114754.99,7088.28,211.98
Girls Sets,Girls,Sets,Wholesale,2025,Oct,9,true,52927.51,53038.6,906,38227.44,50203.19,1139.83,1150.34,45037.39,32347.01,52688.19,74461.45,52.93
Girls Sleepwear,Girls,Sleepwear,Wholesale,2024,Oct,9,true,52795.23,54279.27,1155.91,42311.37,55038.91,1106.68,1227.54,53197.99,32216.13,52878.51,74617.08,52.8
Women Tops,Women,Tops,Ecommerce,2024,Dec,11,true,52786.72,52007.32,7197.29,17806.48,53255.54,6860.13,7925.88,130080.21,152035.37,127322.32,35144.95,211.15
Girls Bottoms,Girls,Bottoms,Retail Stores,2025,May,4,true,52727.49,50840.79,4970.64,19652.6,47895.04,5030.89,4372.03,151055.5,159213.21,143260.55,42280.27,474.55
Girls Sets,Girls,Sets,Wholesale,2024,Feb,1,true,52528.59,52256.44,1168.21,27786.25,48825.08,1178.78,1192.44,54524.9,55093.88,53071.08,51737.09,52.53
Women Dresses,Women,Dresses,Ecommerce,2026,Nov,10,false,52516.11,53815.57,7491.01,38828.08,,6035.1,,,102073.07,149752.72,106440.93,210.06
Boys Tops,Boys,Tops,Retail Stores,2026,May,4,true,52488.97,51845.05,5355.95,13495.94,46108.08,5562.41,5613.83,162074.69,155710.48,156018.7,58831.99,472.4
Girls Sets,Girls,Sets,Retail Stores,2026,Sep,8,false,52469.76,52286.72,5139.24,13885.31,,5762.11,,,140968.01,113664.9,31400.98,472.23
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2025,Sep,8,true,52400.6,51695.91,5888.54,11237.47,54213.09,4800.33,5855.91,123099.88,137971.72,120829.86,40530.68,471.61
Boys Swim,Boys,Swim,Ecommerce,2026,Apr,3,true,52395.41,49390.73,7515.81,33839.55,49925.37,7025.89,7595.96,152881.06,109793.62,149009.69,98846.95,209.58
Girls Swim,Girls,Swim,Ecommerce,2024,Apr,3,true,52385.99,53107.47,6321.6,32409.89,57504.27,7401.63,7514.46,129680.93,113341.94,142046.03,88701.25,209.54
Women Tops,Women,Tops,Ecommerce,2026,Apr,3,true,52337.07,52918.64,7581.8,37896.75,51463.32,7708.47,9271.39,159147.59,113632.11,156749.14,103371.92,209.35
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2024,May,4,true,52249.4,52030.05,5272.28,17029.37,57965,4853.21,7048.46,136772.79,169794.22,144652.12,32430.75,470.24
Girls Bottoms,Girls,Bottoms,Wholesale,2025,Jun,5,true,52230.59,51885.59,981.29,38744.27,56043.33,911.25,1044.74,41416.35,22901.71,41249.18,71541.54,52.23
Boys Bottoms,Boys,Bottoms,Ecommerce,2024,Sep,8,true,52161.53,51729.5,7910.23,13501.23,57733.16,6205.81,9032.97,115332.66,140980,121791.19,39387.17,208.65
Girls Bottoms,Girls,Bottoms,Retail Stores,2026,Aug,7,false,52057.94,48434.01,4418.27,24068.85,,5326.44,,,147706.33,142728.03,52874.6,468.52
Baby Rompers,Baby,Rompers,Ecommerce,2024,Feb,1,true,51921.89,51807.29,8022.1,23394.64,49039.38,7892.66,9062.8,145977.68,151011.96,147449.97,56460.25,207.69
Girls Swim,Girls,Swim,Ecommerce,2026,Jul,6,true,51739.89,50855.71,7114.59,24759.09,51164.43,7427.24,7789.89,156123.81,140685.4,156638.47,75327.16,206.96
Girls Sets,Girls,Sets,Wholesale,2025,Mar,2,true,51687.32,49963.9,1137.26,17383.89,51674.78,961.05,1115.07,37453.29,62039.65,38973.19,29633.6,51.69
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2024,Aug,7,true,51650.2,51340.55,7272.26,19290.48,49843.99,7502.24,6483.39,146145.07,135358.96,145876.97,69877.04,206.6
Girls Tops,Girls,Tops,Wholesale,2026,Nov,10,false,51613.87,57823.61,1167.17,13898.17,,1024.29,,,83812.49,50084.25,18961.54,51.61
Boys Bottoms,Boys,Bottoms,Retail Stores,2026,Dec,11,false,51476.67,51940.18,6239.02,10404,,5991.26,,,142805.72,117169.38,32294.88,463.29
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2024,Mar,2,true,51446.35,50598.03,4879.68,28283.05,53664.34,5807.73,5931.95,108498.28,104980.21,113814,66550.89,463.02
Boys Tops,Boys,Tops,Wholesale,2026,Jun,5,true,51441.11,52910.49,1007.82,38002.45,55660.89,1053.11,1185.98,45366.37,20782.5,42709.31,74472.47,51.44
Girls Sets,Girls,Sets,Retail Stores,2025,Mar,2,true,51440.91,49441.5,5956.36,25344.53,53156.7,6125.11,5838.33,117608.1,100063.07,124615.58,82581.5,462.97
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2026,Dec,11,false,51437.18,55650.19,5304.98,13129.9,,4618.25,,,137793.01,122864.02,41589.38,462.93
Girls Swim,Girls,Swim,Ecommerce,2024,May,4,true,51396.35,49056.9,6557.47,18690.24,50257.91,5936.59,7841.61,147322.17,142046.03,153875.23,69367.72,205.59
Girls Tops,Girls,Tops,Retail Stores,2024,Jul,6,true,51372.15,51552.71,5143.03,24459.13,47316.29,5555.59,5042.75,147930.5,131985.94,140065.56,65469.7,462.35
Girls Dresses,Girls,Dresses,Wholesale,2024,Dec,11,true,51197.9,52593.58,1182.09,8676.23,56950.2,1160.74,1330.67,35862.79,71667.85,41921.25,22663.24,51.2
Girls Sets,Girls,Sets,Wholesale,2025,Jun,5,true,51159.7,51885.59,1085.69,39000.75,54170.95,895.61,836.61,34814.69,20617.75,39376.68,70865.39,51.16
Boys Tops,Boys,Tops,Retail Stores,2024,Nov,10,true,51074.13,50916.25,5207.19,32775.13,61288.68,4892.49,5161.1,135152.23,99655.2,141558.6,98329.68,459.67
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2025,Feb,1,true,51054.72,49216.92,6944.24,9461.2,49489.59,7645.31,7603.81,142193.21,180402.28,138803.37,17305.34,204.22
Girls Swim,Girls,Swim,Ecommerce,2025,Oct,9,true,50997.06,51307.22,7491.42,36067.68,49041.65,6114.81,5162.35,134018.51,120302.65,138213.82,75227.03,203.99
Girls Sets,Girls,Sets,Retail Stores,2025,May,4,true,50925.83,50840.79,5652.74,16684.88,54171.23,5485,6559.33,132888.11,149721.35,141502.85,48650.67,458.33
Girls Sleepwear,Girls,Sleepwear,Wholesale,2024,Mar,2,true,50917.62,51132.65,1059.81,15624.07,46675.06,1006.97,897.06,46106.42,58490.4,41352.31,34837.42,50.92
Baby Rompers,Baby,Rompers,Ecommerce,2025,Jan,12,true,50901.37,50281.07,5858.07,0,53619.53,6918.49,6559.93,227518.85,287926.21,229902.75,0,203.61
Boys Tops,Boys,Tops,Wholesale,2025,Feb,1,true,50893.78,51482.27,972.54,45662.25,51997.5,1067.24,1161.26,51824.88,18265.61,52498.62,86244.92,50.89
Baby Rompers,Baby,Rompers,Retail Stores,2025,Nov,10,true,50724.25,52240.08,4828.6,38715.18,44084.66,5396.71,7452.74,138067.38,101510.66,140049.68,95116.5,456.52
Girls Tops,Girls,Tops,Retail Stores,2025,Feb,1,true,50650.77,51773.65,5134.63,7736.5,49127.27,4635.29,4226.92,149169.58,170093.06,142191.91,27840.76,455.86
Women Tops,Women,Tops,Ecommerce,2024,Nov,10,true,50637.89,48006.75,7183.48,35132.21,49334.58,5866.54,5805.68,155406.99,98148.04,152035.37,110594.32,202.55
Boys Sets,Boys,Sets,Ecommerce,2026,Dec,11,false,50624.85,48972.17,7347.19,13546.61,,6223.27,,,135518.65,112023.11,33555.09,202.5
Boys Bottoms,Boys,Bottoms,Ecommerce,2024,Aug,7,true,50623.37,47917.85,6170.45,24534.88,46980.56,7028.62,8859.36,144752.94,137265.53,140980,61568.95,202.49
Women Dresses,Women,Dresses,Ecommerce,2025,Dec,11,true,50543.75,49406.95,5742.11,14097.12,43116.17,6167.03,6640.1,121714.78,139845.28,115330.33,32398.01,202.18
Boys Tops,Boys,Tops,Wholesale,2026,Mar,2,true,50502.32,50950.84,1026.29,14112.35,49930.54,940.36,1229.57,42669.16,61524.91,42096.98,32065.24,50.5
Boys Tops,Boys,Tops,Retail Stores,2026,Mar,2,true,50428.77,50418.12,5820.97,21506.36,49573.09,6018.51,5844.41,119671.42,95244.88,122026.33,83682.6,453.86
Baby Rompers,Baby,Rompers,Wholesale,2026,Jul,6,true,50403.1,50088.6,1063.6,31942.16,46735.88,1013.72,954.49,44192.66,36779.09,48135.19,62823.32,50.4
Baby Accessories,Baby,Accessories,Ecommerce,2026,Dec,11,false,50394.07,51420.78,7887.18,14890.11,,5970.57,,,140783.58,120636.31,36418.94,201.58
Baby Rompers,Baby,Rompers,Retail Stores,2026,Apr,3,true,50318.93,50513.25,5176.03,31197.05,51235.8,4924.13,5699.68,154888.96,102932.75,153203.81,105966.99,452.87
Girls Sets,Girls,Sets,Retail Stores,2026,Aug,7,false,50228.26,48434.01,5192.46,19918.63,,5601.08,,,142346.7,140968.01,54902.69,452.05
Girls Bottoms,Girls,Bottoms,Wholesale,2026,Sep,8,false,50187.94,47619.44,1009.25,29970.85,,976.4,,,34413.16,39230.79,56032.16,50.19
Girls Bottoms,Girls,Bottoms,Retail Stores,2025,Mar,2,true,50085.25,49441.5,5883.08,24481.3,50636.3,5320.16,6500.75,106565.16,107995.09,109211.33,57072.43,450.77
Girls Bottoms,Girls,Bottoms,Wholesale,2025,Mar,2,true,49937.86,49963.9,1026.28,15407.98,57356.89,945.28,856.33,30573.57,60327.06,38556.56,29162.57,49.94
Baby Rompers,Baby,Rompers,Retail Stores,2024,Dec,11,true,49818.07,49643.35,5214.7,12809.23,53677.31,5668.31,6183.78,106540.03,141880.79,110552.2,24606.15,448.36
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2024,Jul,6,true,49698.15,49006.89,6492.68,24603.48,46752.76,7148.68,9354.7,132954.52,142200.49,135358.96,50204.1,198.79
Girls Sets,Girls,Sets,Wholesale,2024,Jul,6,true,49630.21,47873.64,1074.94,32327.24,51127.48,1049.92,1185.84,46631.73,33527.99,49449.72,66651.49,49.63
Girls Swim,Girls,Swim,Ecommerce,2025,Sep,8,true,49572.26,48741.86,6572.76,13384.51,50049.89,7442.38,7485.25,122659.22,123618.99,120302.65,53896.59,198.29
Girls Bottoms,Girls,Bottoms,Retail Stores,2026,Jul,6,true,49086.8,46232.47,5469.89,17784.42,56634.78,5175.49,4865.22,148436.26,135127.04,147706.33,67283.36,441.78
Baby Sets,Baby,Sets,Ecommerce,2026,Dec,11,false,49080.56,48972.17,6216.92,14406.18,,7427.89,,,121902.16,119537.89,54340.5,196.32
Boys Swim,Boys,Swim,Ecommerce,2026,May,4,true,49073.93,45623.64,5418.84,13410.25,46953.71,6321.3,7655.59,138807.87,149009.69,141502.16,48083.99,196.3
Girls Dresses,Girls,Dresses,Wholesale,2024,May,4,true,48959.9,48210.78,916.96,24108.55,49095.23,964.62,964.06,45058.83,53023.73,47140.07,44089.82,48.96
Girls Sets,Girls,Sets,Wholesale,2026,Sep,8,false,48810.13,47619.44,875.33,28535.66,,854.41,,,33448.44,37714.96,53979.87,48.81
Boys Sets,Boys,Sets,Ecommerce,2026,Nov,10,false,48801.96,45205.08,6913.82,34926.44,,7019.36,,,95180.6,135518.65,96354.58,195.21
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2024,Oct,9,true,48689.06,47733.99,4899.05,31134.33,42102.3,5549.04,6285.54,156286.58,102019.42,144091.49,96748.37,438.2
Girls Bottoms,Girls,Bottoms,Wholesale,2024,Jul,6,true,48589.18,47873.64,904.65,32576.16,50256.72,893.38,830.52,38655.03,37537.05,48340.99,60335.09,48.59
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2026,Feb,1,true,48572.93,47516.7,5520.68,9148.79,46926.04,4437.89,3922.97,139694.14,151355.48,141145.57,43238.06,437.16
Girls Sets,Girls,Sets,Retail Stores,2024,Apr,3,true,48497.12,48279.52,5032.65,32546.98,46208.82,4949.63,4857.31,141507.15,104656.53,139113.07,88339.76,436.47
Girls Sets,Girls,Sets,Retail Stores,2025,Oct,9,true,48492.69,46642.92,5298.25,31741.04,49249.35,4703.49,4072.09,137248.11,99384.91,137971.34,92219.04,436.43
Girls Bottoms,Girls,Bottoms,Retail Stores,2024,Apr,3,true,48398.45,48279.52,4464.11,35681.42,54254.92,4751.34,5305.26,122287.55,104365.25,134357.94,83578.08,435.59
Women Tops,Women,Tops,Ecommerce,2026,May,4,true,48351.18,48882.48,6319.09,18550.22,47306.14,7045.61,7397.78,132854.68,156749.14,133246.2,32087.25,193.4
Girls Bottoms,Girls,Bottoms,Retail Stores,2025,Oct,9,true,48336.33,46642.92,4467.2,29692.28,54505.77,4662.85,4123.4,125796.48,99908.12,136439.57,89965.66,435.03
Girls Tops,Girls,Tops,Wholesale,2025,Nov,10,true,48311.91,49003.06,1104.3,9178.99,47122.57,1010.99,990.36,57082.71,78693.28,51003.29,21681.22,48.31
Boys Swim,Boys,Swim,Ecommerce,2024,Dec,11,true,48229.21,48540.16,6652.77,13632.72,43771.59,7175.84,9453.11,101210.91,119317.11,105626.32,41907.17,192.92
Boys Tops,Boys,Tops,Retail Stores,2025,Apr,3,true,48073.92,47564.27,4735.75,34963.25,44268.54,5796.93,7291.62,134300.48,100489.63,139049.67,92863.56,432.67
Girls Swim,Girls,Swim,Ecommerce,2024,Mar,2,true,48034.54,47706.71,5873.15,27468.7,47070.21,7154.04,7159.14,108896.68,94744.29,113341.94,73978.37,192.14
Baby Rompers,Baby,Rompers,Wholesale,2026,Oct,9,false,47913.39,48677.65,975.89,35188.43,,1045.89,,,29205.33,48107.46,67909.33,47.91
Boys Swim,Boys,Swim,Ecommerce,2026,Mar,2,true,47910.11,44367.95,5161.77,22678.47,45554.43,6062.93,6960.08,106998.49,91451.56,109793.62,72506.75,191.64
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2025,Aug,7,true,47880.42,47886.74,5164.41,24245.51,49655.89,5037.48,5228.27,130875,131483.19,137971.72,59837.35,430.92
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2026,Nov,10,false,47751.2,51369.41,4755.52,37681.75,,5629.42,,,94160.48,137793.01,97442.9,429.76
Boys Tops,Boys,Tops,Retail Stores,2026,Jun,5,true,47703.67,47088.62,5475.04,6156.68,49779.6,4851.48,5798.14,106681.23,156018.7,109924.73,6890.52,429.33
Girls Bottoms,Girls,Bottoms,Wholesale,2024,Oct,9,true,47693.2,46525.09,872.19,34379.78,50667.02,1083.63,1487.59,43374.37,27384.45,45889.78,67329.86,47.69
Boys Bottoms,Boys,Bottoms,Retail Stores,2026,Nov,10,false,47680.66,47944.78,4843,35079.16,,5015.99,,,92248.09,142805.72,103683.4,429.13
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2024,Jun,5,true,47618.4,47256.65,5633.45,2623.83,48093.27,5122.47,6450.54,104897.3,144652.12,108090.19,16607.51,428.57
Baby Rompers,Baby,Rompers,Wholesale,2026,Jun,5,true,47597.17,47619.44,851.58,36548.93,46674.83,828.69,943.07,40601.47,18596.63,36779.09,66655.92,47.6
