style_month.style_key,style_month.style_name,style_month.print_name,style_month.division,style_month.department,style_month.dept_key,style_month.class_name,style_month.season,style_month.lifecycle,style_month.channel,style_month.fiscal_year,style_month.units_sold,style_month.sales_dollars,style_month.on_hand_units,style_month.on_order_units
ST-0071,Tulip Garden Two-Piece Set,Tulip Garden,Baby,Sets,Baby Sets,Two-Piece Set,Spring,New,Wholesale,2026,991,45658.14,2166,1254
ST-0064,Wildflower PJ Set,Wildflower,Boys,Sleepwear,Boys Sleepwear,PJ Set,Fall,New,Ecommerce,2025,928,45515.58,1207,560
ST-0061,Garden Trellis Rash Guard Set,Garden Trellis,Boys,Swim,Boys Swim,Rash Guard Set,Spring,New,Wholesale,2026,1053,45482.02,2164,1291
ST-0023,Acorn Toile Two-Piece Set,Acorn Toile,Girls,Sets,Girls Sets,Two-Piece Set,Fall,New,Wholesale,2025,809,45427.61,1693,737
ST-0061,Garden Trellis Rash Guard Set,Garden Trellis,Boys,Swim,Boys Swim,Rash Guard Set,Spring,New,Ecommerce,2025,800,45420.74,1230,544
ST-0075,Tulip Garden PJ Set,Tulip Garden,Baby,Sleepwear,Baby Sleepwear,PJ Set,Spring,New,Ecommerce,2026,998,45242.14,1063,437
ST-0031,Strawberry Fields PJ Set,Strawberry Fields,Girls,Sleepwear,Girls Sleepwear,PJ Set,Summer,Carryover,Ecommerce,2026,943,45105.42,1466,605
ST-0031,Strawberry Fields PJ Set,Strawberry Fields,Girls,Sleepwear,Girls Sleepwear,PJ Set,Summer,Carryover,Ecommerce,2025,996,44935.78,1923,444
ST-0030,Nantucket Stripe Rash Guard Set,Nantucket Stripe,Girls,Swim,Girls Swim,Rash Guard Set,Summer,New,Ecommerce,2025,901,44910,1374,510
ST-0050,Palm Frond Short,Palm Frond,Boys,Bottoms,Boys Bottoms,Short,Summer,New,Ecommerce,2026,941,44875.1,1843,1007
ST-0065,Tulip Garden Bubble,Tulip Garden,Baby,Rompers,Baby Rompers,Bubble,Spring,New,Ecommerce,2025,938,44661.24,1351,552
ST-0084,Tulip Garden Maxi Dress,Tulip Garden,Women,Dresses,Women Dresses,Maxi Dress,Spring,New,Wholesale,2025,400,44349.12,649,197
ST-0060,Nantucket Stripe Swim Trunk,Nantucket Stripe,Boys,Swim,Boys Swim,Swim Trunk,Summer,Carryover,Wholesale,2026,961,44275.96,1723,829
ST-0026,Palm Frond Romper,Palm Frond,Girls,Sets,Girls Sets,Romper,Summer,New,Wholesale,2026,766,44116.09,1066,346
ST-0055,Candy Cane Stripe Pant,Candy Cane Stripe,Boys,Bottoms,Boys Bottoms,Pant,Holiday,Carryover,Ecommerce,2026,1054,43985.24,1449,997
ST-0060,Nantucket Stripe Swim Trunk,Nantucket Stripe,Boys,Swim,Boys Swim,Swim Trunk,Summer,Carryover,Retail Stores,2026,734,43915.66,1095,301
ST-0043,Pomegranate Tee,Pomegranate,Boys,Tops,Boys Tops,Tee,Fall,New,Ecommerce,2026,959,43892.84,1632,978
ST-0029,Hydrangea Rash Guard Set,Hydrangea,Girls,Swim,Girls Swim,Rash Guard Set,Spring,New,Wholesale,2026,1016,43883.89,969,430
ST-0027,Candy Cane Stripe Romper,Candy Cane Stripe,Girls,Sets,Girls Sets,Romper,Holiday,New,Wholesale,2025,951,43815.23,1263,712
ST-0032,Pomegranate PJ Set,Pomegranate,Girls,Sleepwear,Girls Sleepwear,PJ Set,Fall,New,Ecommerce,2025,897,43806.53,1526,766
ST-0070,Winter Fair Isle Coverall,Winter Fair Isle,Baby,Rompers,Baby Rompers,Coverall,Holiday,New,Ecommerce,2025,990,43743.52,1556,253
ST-0023,Acorn Toile Two-Piece Set,Acorn Toile,Girls,Sets,Girls Sets,Two-Piece Set,Fall,New,Wholesale,2026,777,43630.72,1072,693
ST-0089,Tulip Garden Blouse,Tulip Garden,Women,Tops,Women Tops,Blouse,Spring,New,Retail Stores,2026,556,43608.93,953,148
ST-0067,Snowdrop Bubble,Snowdrop,Baby,Rompers,Baby Rompers,Bubble,Holiday,New,Ecommerce,2026,851,43517.99,1326,320
ST-0030,Nantucket Stripe Rash Guard Set,Nantucket Stripe,Girls,Swim,Girls Swim,Rash Guard Set,Summer,New,Ecommerce,2026,878,43285.5,1102,579
ST-0051,Autumn Gingham Short,Autumn Gingham,Boys,Bottoms,Boys Bottoms,Short,Fall,New,Ecommerce,2026,1084,43186.08,1830,648
ST-0023,Acorn Toile Two-Piece Set,Acorn Toile,Girls,Sets,Girls Sets,Two-Piece Set,Fall,New,Retail Stores,2025,566,42879.36,869,268
ST-0066,Seashell Bubble,Seashell,Baby,Rompers,Baby Rompers,Bubble,Summer,New,Ecommerce,2025,1009,42858.66,1647,735
ST-0093,Strawberry Fields Tunic,Strawberry Fields,Women,Tops,Women Tops,Tunic,Summer,New,Retail Stores,2025,547,42797.35,1018,296
ST-0011,Lemon Grove Tee,Lemon Grove,Girls,Tops,Girls Tops,Tee,Summer,New,Ecommerce,2025,898,42338.04,1199,579
ST-0074,Pomegranate Footie,Pomegranate,Baby,Sleepwear,Baby Sleepwear,Footie,Fall,New,Ecommerce,2025,1034,42100.19,1700,568
ST-0097,Holiday Holly Short,Holiday Holly,Women,Bottoms,Women Bottoms,Short,Holiday,New,Wholesale,2026,834,42027.59,1388,1119
ST-0041,Hydrangea Tee,Hydrangea,Boys,Tops,Boys Tops,Tee,Spring,New,Wholesale,2025,1005,41961.56,1906,343
ST-0029,Hydrangea Rash Guard Set,Hydrangea,Girls,Swim,Girls Swim,Rash Guard Set,Spring,New,Ecommerce,2026,775,41700.25,1306,620
ST-0028,Tulip Garden One-Piece,Tulip Garden,Girls,Swim,Girls Swim,One-Piece,Spring,New,Ecommerce,2026,764,41592.7,1510,651
ST-0064,Wildflower PJ Set,Wildflower,Boys,Sleepwear,Boys Sleepwear,PJ Set,Fall,New,Ecommerce,2026,832,41522.11,1317,232
ST-0016,Cherry Blossom Short,Cherry Blossom,Girls,Bottoms,Girls Bottoms,Short,Spring,Carryover,Ecommerce,2026,822,41514.8,1036,140
ST-0041,Hydrangea Tee,Hydrangea,Boys,Tops,Boys Tops,Tee,Spring,New,Ecommerce,2026,754,41407.45,1366,526
ST-0007,Cherry Blossom Blouse,Cherry Blossom,Girls,Tops,Girls Tops,Blouse,Spring,Carryover,Ecommerce,2025,715,41260.36,916,478
ST-0073,Seashell Footie,Seashell,Baby,Sleepwear,Baby Sleepwear,Footie,Summer,New,Ecommerce,2026,1065,41252.06,1369,863
ST-0087,Ditsy Rose Day Dress,Ditsy Rose,Women,Dresses,Women Dresses,Day Dress,Spring,New,Wholesale,2025,403,41199.82,686,331
ST-0068,Strawberry Fields Coverall,Strawberry Fields,Baby,Rompers,Baby Rompers,Coverall,Summer,New,Ecommerce,2026,816,40971.97,1315,782
ST-0039,Seashell Button-Down,Seashell,Boys,Tops,Boys Tops,Button-Down,Summer,New,Wholesale,2026,1041,40466.59,1627,714
ST-0068,Strawberry Fields Coverall,Strawberry Fields,Baby,Rompers,Baby Rompers,Coverall,Summer,New,Retail Stores,2026,808,40434.57,1096,252
ST-0048,Candy Cane Stripe Polo,Candy Cane Stripe,Boys,Tops,Boys Tops,Polo,Holiday,New,Ecommerce,2025,760,40172.09,1192,772
ST-0101,Winter Fair Isle PJ Set,Winter Fair Isle,Women,Sleepwear,Women Sleepwear,PJ Set,Holiday,Carryover,Ecommerce,2026,521,40164.97,798,271
ST-0072,Strawberry Fields Two-Piece Set,Strawberry Fields,Baby,Sets,Baby Sets,Two-Piece Set,Summer,New,Ecommerce,2026,886,40054.01,1206,447
ST-0010,Holiday Holly Blouse,Holiday Holly,Girls,Tops,Girls Tops,Blouse,Holiday,New,Ecommerce,2025,833,40040.86,1903,1183
ST-0066,Seashell Bubble,Seashell,Baby,Rompers,Baby Rompers,Bubble,Summer,New,Ecommerce,2026,916,40011.16,1748,860
ST-0018,Acorn Toile Short,Acorn Toile,Girls,Bottoms,Girls Bottoms,Short,Fall,New,Wholesale,2026,1066,39903.36,1999,852
ST-0098,Garden Trellis Pant,Garden Trellis,Women,Bottoms,Women Bottoms,Pant,Spring,New,Retail Stores,2025,592,39809.36,730,83
ST-0059,Hydrangea Swim Trunk,Hydrangea,Boys,Swim,Boys Swim,Swim Trunk,Spring,New,Wholesale,2025,950,39665.16,1877,475
ST-0101,Winter Fair Isle PJ Set,Winter Fair Isle,Women,Sleepwear,Women Sleepwear,PJ Set,Holiday,Carryover,Retail Stores,2026,513,39648.86,615,205
ST-0076,Lemon Grove PJ Set,Lemon Grove,Baby,Sleepwear,Baby Sleepwear,PJ Set,Summer,Carryover,Ecommerce,2025,942,39401.66,1035,731
ST-0049,Cherry Blossom Short,Cherry Blossom,Boys,Bottoms,Boys Bottoms,Short,Spring,Carryover,Ecommerce,2026,926,39399.8,1116,428
ST-0022,Cherry Blossom Two-Piece Set,Cherry Blossom,Girls,Sets,Girls Sets,Two-Piece Set,Spring,New,Wholesale,2026,717,39229.08,1109,415
ST-0023,Acorn Toile Two-Piece Set,Acorn Toile,Girls,Sets,Girls Sets,Two-Piece Set,Fall,New,Retail Stores,2026,538,39135.3,1084,116
ST-0018,Acorn Toile Short,Acorn Toile,Girls,Bottoms,Girls Bottoms,Short,Fall,New,Ecommerce,2026,832,39097.36,1261,296
ST-0071,Tulip Garden Two-Piece Set,Tulip Garden,Baby,Sets,Baby Sets,Two-Piece Set,Spring,New,Retail Stores,2026,672,39047.36,1010,356
ST-0058,Holiday Holly Two-Piece Set,Holiday Holly,Boys,Sets,Boys Sets,Two-Piece Set,Holiday,New,Wholesale,2026,694,38970.04,1133,523
ST-0091,Wildflower Blouse,Wildflower,Women,Tops,Women Tops,Blouse,Fall,New,Retail Stores,2026,450,38921.65,769,518
ST-0062,Seashell Rash Guard Set,Seashell,Boys,Swim,Boys Swim,Rash Guard Set,Summer,New,Ecommerce,2025,815,38881.29,1589,772
ST-0099,Strawberry Fields PJ Set,Strawberry Fields,Women,Sleepwear,Women Sleepwear,PJ Set,Summer,New,Retail Stores,2025,546,38789.89,765,320
ST-0009,Acorn Toile Blouse,Acorn Toile,Girls,Tops,Girls Tops,Blouse,Fall,New,Retail Stores,2025,771,38659.22,1032,755
ST-0075,Tulip Garden PJ Set,Tulip Garden,Baby,Sleepwear,Baby Sleepwear,PJ Set,Spring,New,Wholesale,2026,1108,38284.5,1323,867
ST-0080,Pomegranate Bonnet,Pomegranate,Baby,Accessories,Baby Accessories,Bonnet,Fall,Carryover,Ecommerce,2026,1475,38208.87,2020,1084
ST-0053,Strawberry Fields Pant,Strawberry Fields,Boys,Bottoms,Boys Bottoms,Pant,Summer,New,Ecommerce,2025,943,38034.52,1422,401
ST-0012,Wildflower Tee,Wildflower,Girls,Tops,Girls Tops,Tee,Fall,New,Ecommerce,2026,756,37847.25,1197,757
ST-0014,Acorn Toile Cardigan,Acorn Toile,Girls,Tops,Girls Tops,Cardigan,Fall,New,Retail Stores,2026,659,37839.54,907,618
ST-0064,Wildflower PJ Set,Wildflower,Boys,Sleepwear,Boys Sleepwear,PJ Set,Fall,New,Wholesale,2025,966,37551.13,855,473
ST-0016,Cherry Blossom Short,Cherry Blossom,Girls,Bottoms,Girls Bottoms,Short,Spring,Carryover,Ecommerce,2025,760,37423.18,884,452
ST-0008,Seashell Blouse,Seashell,Girls,Tops,Girls Tops,Blouse,Summer,New,Wholesale,2025,864,37318.57,1410,1089
ST-0089,Tulip Garden Blouse,Tulip Garden,Women,Tops,Women Tops,Blouse,Spring,New,Retail Stores,2025,480,37119.14,753,325
ST-0014,Acorn Toile Cardigan,Acorn Toile,Girls,Tops,Girls Tops,Cardigan,Fall,New,Wholesale,2025,826,36866.7,1318,882
ST-0093,Strawberry Fields Tunic,Strawberry Fields,Women,Tops,Women Tops,Tunic,Summer,New,Wholesale,2025,595,36838.12,568,294
ST-0062,Seashell Rash Guard Set,Seashell,Boys,Swim,Boys Swim,Rash Guard Set,Summer,New,Wholesale,2025,947,36812.54,1716,182
ST-0022,Cherry Blossom Two-Piece Set,Cherry Blossom,Girls,Sets,Girls Sets,Two-Piece Set,Spring,New,Wholesale,2025,670,36657.57,917,464
ST-0030,Nantucket Stripe Rash Guard Set,Nantucket Stripe,Girls,Swim,Girls Swim,Rash Guard Set,Summer,New,Wholesale,2026,977,36571.84,1808,618
ST-0010,Holiday Holly Blouse,Holiday Holly,Girls,Tops,Girls Tops,Blouse,Holiday,New,Retail Stores,2025,757,36555.23,1249,424
ST-0043,Pomegranate Tee,Pomegranate,Boys,Tops,Boys Tops,Tee,Fall,New,Wholesale,2026,1013,36460.7,2101,1146
ST-0044,Snowdrop Tee,Snowdrop,Boys,Tops,Boys Tops,Tee,Holiday,New,Ecommerce,2025,775,36405.31,1291,599
ST-0054,Acorn Toile Pant,Acorn Toile,Boys,Bottoms,Boys Bottoms,Pant,Fall,New,Ecommerce,2026,749,36132.29,1259,485
ST-0026,Palm Frond Romper,Palm Frond,Girls,Sets,Girls Sets,Romper,Summer,New,Wholesale,2025,626,36053.1,1044,354
ST-0074,Pomegranate Footie,Pomegranate,Baby,Sleepwear,Baby Sleepwear,Footie,Fall,New,Ecommerce,2026,929,36048.91,1378,290
ST-0046,Lemon Grove Polo,Lemon Grove,Boys,Tops,Boys Tops,Polo,Summer,New,Retail Stores,2025,642,35841.07,1035,645
ST-0097,Holiday Holly Short,Holiday Holly,Women,Bottoms,Women Bottoms,Short,Holiday,New,Retail Stores,2026,561,35772.7,898,299
ST-0018,Acorn Toile Short,Acorn Toile,Girls,Bottoms,Girls Bottoms,Short,Fall,New,Ecommerce,2025,767,35728.86,1269,520
ST-0044,Snowdrop Tee,Snowdrop,Boys,Tops,Boys Tops,Tee,Holiday,New,Wholesale,2026,950,35561.16,1308,680
ST-0035,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Girls Sleepwear,Nightgown,Summer,New,Wholesale,2026,911,35413.12,1463,682
ST-0086,Autumn Gingham Maxi Dress,Autumn Gingham,Women,Dresses,Women Dresses,Maxi Dress,Fall,New,Wholesale,2026,296,35375.79,626,273
ST-0007,Cherry Blossom Blouse,Cherry Blossom,Girls,Tops,Girls Tops,Blouse,Spring,Carryover,Wholesale,2025,818,35331.71,1346,417
ST-0045,Hydrangea Polo,Hydrangea,Boys,Tops,Boys Tops,Polo,Spring,New,Retail Stores,2026,626,35325.86,1188,133
ST-0096,Pomegranate Short,Pomegranate,Women,Bottoms,Women Bottoms,Short,Fall,New,Retail Stores,2026,528,35290.78,678,282
ST-0003,Autumn Gingham Day Dress,Autumn Gingham,Girls,Dresses,Girls Dresses,Day Dress,Fall,New,Wholesale,2025,531,35169.62,905,634
ST-0070,Winter Fair Isle Coverall,Winter Fair Isle,Baby,Rompers,Baby Rompers,Coverall,Holiday,New,Wholesale,2026,1017,35140.2,1521,1249
ST-0099,Strawberry Fields PJ Set,Strawberry Fields,Women,Sleepwear,Women Sleepwear,PJ Set,Summer,New,Retail Stores,2026,518,34936.48,645,97
ST-0012,Wildflower Tee,Wildflower,Girls,Tops,Girls Tops,Tee,Fall,New,Retail Stores,2025,680,34909.9,724,392
ST-0068,Strawberry Fields Coverall,Strawberry Fields,Baby,Rompers,Baby Rompers,Coverall,Summer,New,Wholesale,2026,897,34868.9,1697,607
ST-0050,Palm Frond Short,Palm Frond,Boys,Bottoms,Boys Bottoms,Short,Summer,New,Retail Stores,2025,727,34819.64,1302,740
ST-0092,Winter Fair Isle Blouse,Winter Fair Isle,Women,Tops,Women Tops,Blouse,Holiday,New,Retail Stores,2025,392,34587.08,419,108
ST-0095,Tulip Garden Short,Tulip Garden,Women,Bottoms,Women Bottoms,Short,Spring,New,Wholesale,2025,649,34574.04,1333,562
ST-0019,Garden Trellis Legging,Garden Trellis,Girls,Bottoms,Girls Bottoms,Legging,Spring,New,Retail Stores,2025,828,34488.11,1241,625
ST-0057,Wildflower Two-Piece Set,Wildflower,Boys,Sets,Boys Sets,Two-Piece Set,Fall,New,Retail Stores,2026,610,34432.21,729,232
ST-0020,Acorn Toile Legging,Acorn Toile,Girls,Bottoms,Girls Bottoms,Legging,Fall,New,Ecommerce,2026,761,34408.84,1707,981
ST-0043,Pomegranate Tee,Pomegranate,Boys,Tops,Boys Tops,Tee,Fall,New,Ecommerce,2025,719,34344.19,803,563
ST-0037,Holiday Holly Nightgown,Holiday Holly,Girls,Sleepwear,Girls Sleepwear,Nightgown,Holiday,Carryover,Wholesale,2025,793,34251.89,1545,824
ST-0065,Tulip Garden Bubble,Tulip Garden,Baby,Rompers,Baby Rompers,Bubble,Spring,New,Ecommerce,2026,713,34249.09,1286,710
ST-0057,Wildflower Two-Piece Set,Wildflower,Boys,Sets,Boys Sets,Two-Piece Set,Fall,New,Ecommerce,2025,612,34045.08,824,190
ST-0018,Acorn Toile Short,Acorn Toile,Girls,Bottoms,Girls Bottoms,Short,Fall,New,Retail Stores,2026,670,33989.27,1260,594
ST-0031,Strawberry Fields PJ Set,Strawberry Fields,Girls,Sleepwear,Girls Sleepwear,PJ Set,Summer,Carryover,Wholesale,2025,944,33977.21,1437,409
ST-0060,Nantucket Stripe Swim Trunk,Nantucket Stripe,Boys,Swim,Boys Swim,Swim Trunk,Summer,Carryover,Wholesale,2025,734,33817.44,1457,530
ST-0055,Candy Cane Stripe Pant,Candy Cane Stripe,Boys,Bottoms,Boys Bottoms,Pant,Holiday,Carryover,Wholesale,2026,1021,33808.17,1498,669
ST-0010,Holiday Holly Blouse,Holiday Holly,Girls,Tops,Girls Tops,Blouse,Holiday,New,Wholesale,2026,902,33764.39,1439,546
ST-0063,Strawberry Fields PJ Set,Strawberry Fields,Boys,Sleepwear,Boys Sleepwear,PJ Set,Summer,New,Ecommerce,2026,708,33758.05,1279,418
ST-0015,Winter Fair Isle Cardigan,Winter Fair Isle,Girls,Tops,Girls Tops,Cardigan,Holiday,Carryover,Wholesale,2025,901,33726.96,1204,609
ST-0040,Candy Cane Stripe Button-Down,Candy Cane Stripe,Boys,Tops,Boys Tops,Button-Down,Holiday,New,Ecommerce,2026,685,33642.74,1166,562
ST-0063,Strawberry Fields PJ Set,Strawberry Fields,Boys,Sleepwear,Boys Sleepwear,PJ Set,Summer,New,Retail Stores,2025,691,33575.71,809,151
ST-0081,Holiday Holly Bonnet,Holiday Holly,Baby,Accessories,Baby Accessories,Bonnet,Holiday,New,Ecommerce,2025,1268,33516.8,2041,1442
ST-0013,Hydrangea Cardigan,Hydrangea,Girls,Tops,Girls Tops,Cardigan,Spring,New,Retail Stores,2026,708,33483.34,912,456
ST-0056,Tulip Garden Two-Piece Set,Tulip Garden,Boys,Sets,Boys Sets,Two-Piece Set,Spring,New,Retail Stores,2026,532,33385.86,843,452
ST-0028,Tulip Garden One-Piece,Tulip Garden,Girls,Swim,Girls Swim,One-Piece,Spring,New,Wholesale,2025,799,33360.49,987,306
ST-0016,Cherry Blossom Short,Cherry Blossom,Girls,Bottoms,Girls Bottoms,Short,Spring,Carryover,Wholesale,2025,858,33352.86,1998,1048
ST-0058,Holiday Holly Two-Piece Set,Holiday Holly,Boys,Sets,Boys Sets,Two-Piece Set,Holiday,New,Wholesale,2025,593,33298.6,1114,436
ST-0052,Garden Trellis Pant,Garden Trellis,Boys,Bottoms,Boys Bottoms,Pant,Spring,New,Wholesale,2026,921,33149.37,1058,526
ST-0039,Seashell Button-Down,Seashell,Boys,Tops,Boys Tops,Button-Down,Summer,New,Ecommerce,2025,678,32940.08,1184,212
ST-0066,Seashell Bubble,Seashell,Baby,Rompers,Baby Rompers,Bubble,Summer,New,Wholesale,2025,993,32881.01,1738,942
ST-0034,Cherry Blossom Nightgown,Cherry Blossom,Girls,Sleepwear,Girls Sleepwear,Nightgown,Spring,New,Wholesale,2025,785,32775.94,1191,442
ST-0009,Acorn Toile Blouse,Acorn Toile,Girls,Tops,Girls Tops,Blouse,Fall,New,Ecommerce,2025,667,32747.93,1415,816
ST-0054,Acorn Toile Pant,Acorn Toile,Boys,Bottoms,Boys Bottoms,Pant,Fall,New,Retail Stores,2026,638,32602.56,703,183
ST-0076,Lemon Grove PJ Set,Lemon Grove,Baby,Sleepwear,Baby Sleepwear,PJ Set,Summer,Carryover,Wholesale,2026,1027,32527.97,1685,835
ST-0035,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Girls Sleepwear,Nightgown,Summer,New,Retail Stores,2025,659,32487.68,600,331
ST-0033,Snowdrop PJ Set,Snowdrop,Girls,Sleepwear,Girls Sleepwear,PJ Set,Holiday,New,Ecommerce,2026,634,32475.93,596,395
ST-0069,Autumn Gingham Coverall,Autumn Gingham,Baby,Rompers,Baby Rompers,Coverall,Fall,New,Ecommerce,2025,729,32398.68,1066,395
ST-0035,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Girls Sleepwear,Nightgown,Summer,New,Ecommerce,2026,678,32301.23,1024,436
ST-0067,Snowdrop Bubble,Snowdrop,Baby,Rompers,Baby Rompers,Bubble,Holiday,New,Ecommerce,2025,661,32261.95,952,365
ST-0096,Pomegranate Short,Pomegranate,Women,Bottoms,Women Bottoms,Short,Fall,New,Wholesale,2026,620,32136.33,778,411
ST-0061,Garden Trellis Rash Guard Set,Garden Trellis,Boys,Swim,Boys Swim,Rash Guard Set,Spring,New,Retail Stores,2026,566,32121.26,1127,523
ST-0076,Lemon Grove PJ Set,Lemon Grove,Baby,Sleepwear,Baby Sleepwear,PJ Set,Summer,Carryover,Ecommerce,2026,765,32086,1130,676
ST-0011,Lemon Grove Tee,Lemon Grove,Girls,Tops,Girls Tops,Tee,Summer,New,Retail Stores,2025,639,31864.34,863,331
ST-0065,Tulip Garden Bubble,Tulip Garden,Baby,Rompers,Baby Rompers,Bubble,Spring,New,Wholesale,2025,849,31780.44,1370,341
ST-0025,Hydrangea Romper,Hydrangea,Girls,Sets,Girls Sets,Romper,Spring,New,Retail Stores,2026,560,31729.14,643,352
ST-0040,Candy Cane Stripe Button-Down,Candy Cane Stripe,Boys,Tops,Boys Tops,Button-Down,Holiday,New,Wholesale,2026,816,31720.2,1490,1000
ST-0048,Candy Cane Stripe Polo,Candy Cane Stripe,Boys,Tops,Boys Tops,Polo,Holiday,New,Wholesale,2026,786,31685.86,1381,462
ST-0064,Wildflower PJ Set,Wildflower,Boys,Sleepwear,Boys Sleepwear,PJ Set,Fall,New,Wholesale,2026,815,31681.33,942,467
ST-0024,Winter Fair Isle Two-Piece Set,Winter Fair Isle,Girls,Sets,Girls Sets,Two-Piece Set,Holiday,Carryover,Wholesale,2025,549,31618.45,1016,375
ST-0057,Wildflower Two-Piece Set,Wildflower,Boys,Sets,Boys Sets,Two-Piece Set,Fall,New,Wholesale,2025,708,31600.02,1334,776
ST-0036,Autumn Gingham Nightgown,Autumn Gingham,Girls,Sleepwear,Girls Sleepwear,Nightgown,Fall,New,Wholesale,2025,953,31556.5,1126,575
ST-0021,Seashell Skirt,Seashell,Girls,Bottoms,Girls Bottoms,Skirt,Summer,New,Retail Stores,2026,751,31462.1,1146,703
ST-0026,Palm Frond Romper,Palm Frond,Girls,Sets,Girls Sets,Romper,Summer,New,Retail Stores,2026,429,31404.79,634,132
ST-0056,Tulip Garden Two-Piece Set,Tulip Garden,Boys,Sets,Boys Sets,Two-Piece Set,Spring,New,Retail Stores,2025,476,31376.6,520,286
ST-0076,Lemon Grove PJ Set,Lemon Grove,Baby,Sleepwear,Baby Sleepwear,PJ Set,Summer,Carryover,Retail Stores,2026,720,31332.78,1012,707
ST-0025,Hydrangea Romper,Hydrangea,Girls,Sets,Girls Sets,Romper,Spring,New,Retail Stores,2025,547,31327.36,1135,779
ST-0027,Candy Cane Stripe Romper,Candy Cane Stripe,Girls,Sets,Girls Sets,Romper,Holiday,New,Retail Stores,2026,525,31323.41,850,369
ST-0077,Pomegranate PJ Set,Pomegranate,Baby,Sleepwear,Baby Sleepwear,PJ Set,Fall,New,Wholesale,2026,945,31291.59,1387,652
ST-0013,Hydrangea Cardigan,Hydrangea,Girls,Tops,Girls Tops,Cardigan,Spring,New,Ecommerce,2026,699,31273.49,1436,865
ST-0044,Snowdrop Tee,Snowdrop,Boys,Tops,Boys Tops,Tee,Holiday,New,Ecommerce,2026,657,31219.34,1234,322
ST-0054,Acorn Toile Pant,Acorn Toile,Boys,Bottoms,Boys Bottoms,Pant,Fall,New,Retail Stores,2025,641,31197.84,1044,642
ST-0007,Cherry Blossom Blouse,Cherry Blossom,Girls,Tops,Girls Tops,Blouse,Spring,Carryover,Retail Stores,2026,574,31152.58,736,206
ST-0071,Tulip Garden Two-Piece Set,Tulip Garden,Baby,Sets,Baby Sets,Two-Piece Set,Spring,New,Wholesale,2025,676,31145.22,1098,554
ST-0019,Garden Trellis Legging,Garden Trellis,Girls,Bottoms,Girls Bottoms,Legging,Spring,New,Ecommerce,2026,793,31096.89,1622,470
ST-0045,Hydrangea Polo,Hydrangea,Boys,Tops,Boys Tops,Polo,Spring,New,Wholesale,2025,719,31055.62,858,133
ST-0071,Tulip Garden Two-Piece Set,Tulip Garden,Baby,Sets,Baby Sets,Two-Piece Set,Spring,New,Ecommerce,2026,545,31050.34,1092,650
ST-0078,Tulip Garden Bonnet,Tulip Garden,Baby,Accessories,Baby Accessories,Bonnet,Spring,New,Ecommerce,2025,1128,30990.27,1953,903
ST-0033,Snowdrop PJ Set,Snowdrop,Girls,Sleepwear,Girls Sleepwear,PJ Set,Holiday,New,Retail Stores,2026,608,30898.16,1228,805
ST-0059,Hydrangea Swim Trunk,Hydrangea,Boys,Swim,Boys Swim,Swim Trunk,Spring,New,Retail Stores,2025,576,30757.65,830,422
ST-0058,Holiday Holly Two-Piece Set,Holiday Holly,Boys,Sets,Boys Sets,Two-Piece Set,Holiday,New,Retail Stores,2026,428,30662.69,750,582
ST-0015,Winter Fair Isle Cardigan,Winter Fair Isle,Girls,Tops,Girls Tops,Cardigan,Holiday,Carryover,Ecommerce,2025,600,30650.01,800,517
ST-0056,Tulip Garden Two-Piece Set,Tulip Garden,Boys,Sets,Boys Sets,Two-Piece Set,Spring,New,Wholesale,2025,625,30595.5,920,223
ST-0069,Autumn Gingham Coverall,Autumn Gingham,Baby,Rompers,Baby Rompers,Coverall,Fall,New,Wholesale,2025,884,30544.68,1292,601
ST-0015,Winter Fair Isle Cardigan,Winter Fair Isle,Girls,Tops,Girls Tops,Cardigan,Holiday,Carryover,Retail Stores,2026,670,30211.54,1132,493
ST-0046,Lemon Grove Polo,Lemon Grove,Boys,Tops,Boys Tops,Polo,Summer,New,Retail Stores,2026,526,30210.66,859,429
ST-0044,Snowdrop Tee,Snowdrop,Boys,Tops,Boys Tops,Tee,Holiday,New,Wholesale,2025,805,30133.39,1299,1003
ST-0094,Snowdrop Tunic,Snowdrop,Women,Tops,Women Tops,Tunic,Holiday,New,Wholesale,2026,498,30115.45,838,250
ST-0062,Seashell Rash Guard Set,Seashell,Boys,Swim,Boys Swim,Rash Guard Set,Summer,New,Retail Stores,2025,586,30015.7,1053,514
ST-0037,Holiday Holly Nightgown,Holiday Holly,Girls,Sleepwear,Girls Sleepwear,Nightgown,Holiday,Carryover,Retail Stores,2025,542,30007.07,789,440
ST-0088,Nantucket Stripe Day Dress,Nantucket Stripe,Women,Dresses,Women Dresses,Day Dress,Summer,New,Wholesale,2026,284,29852.04,571,416
ST-0059,Hydrangea Swim Trunk,Hydrangea,Boys,Swim,Boys Swim,Swim Trunk,Spring,New,Wholesale,2026,712,29727.99,1075,708
ST-0093,Strawberry Fields Tunic,Strawberry Fields,Women,Tops,Women Tops,Tunic,Summer,New,Retail Stores,2026,381,29711.09,477,238
ST-0098,Garden Trellis Pant,Garden Trellis,Women,Bottoms,Women Bottoms,Pant,Spring,New,Ecommerce,2026,442,29699.37,605,348
